account_id,customer_id,account_type,balance,currency,status,opened_date,is_fraud
A0071,C0071,credit_card,36113.36,AUD,active,2020-05-15,True
A0072,C0072,credit_card,44379.62,AUD,active,2022-11-06,False
A0073,C0073,savings,41303.83,AUD,active,2020-10-15,True
A0074,C0074,savings,58634.15,AUD,closed,2022-01-12,False
A0075,C0075,credit_card,38897.83,AUD,active,2023-12-25,False
A0076,C0076,checking,137971.47,AUD,suspended,2020-01-12,True
A0077,C0077,credit_card,-3516.85,AUD,active,2021-08-19,True
A0078,C0078,credit_card,26041.56,AUD,active,2021-11-25,False
A0079,C0079,savings,96591.07,AUD,active,2021-05-28,False
A0080,C0080,checking,27668.49,AUD,active,2022-06-24,False
A0081,C0081,checking,49439.22,AUD,active,2022-06-09,False
A0082,C0082,checking,50956.33,AUD,active,2021-02-11,False
A0083,C0083,checking,112925.47,AUD,active,2021-07-13,False
A0084,C0084,checking,125319.18,AUD,active,2021-01-03,False
A0085,C0085,savings,112479.13,AUD,active,2022-11-04,False
A0086,C0086,checking,34021.21,AUD,active,2021-12-24,True
A0087,C0087,credit_card,-2785.8,AUD,active,2020-09-06,False
A0088,C0088,savings,30304.42,AUD,active,2022-12-02,False
A0089,C0089,credit_card,3381.03,AUD,active,2023-12-05,False
A0090,C0090,checking,100584.1,AUD,suspended,2023-04-11,False
A0091,C0091,savings,70022.58,AUD,active,2022-12-09,True
A0092,C0092,checking,25584.48,AUD,suspended,2022-09-20,False
A0093,C0093,credit_card,34509.65,AUD,active,2021-07-25,False
A0094,C0094,checking,16660.76,AUD,active,2020-12-10,False
A0095,C0095,checking,86581.61,AUD,active,2020-07-27,False
A0096,C0096,checking,141249.85,AUD,active,2020-08-26,False
A0097,C0097,savings,89018.63,AUD,closed,2023-03-08,False
A0098,C0098,savings,15734.25,AUD,active,2021-08-04,False
A0099,C0099,credit_card,28022.64,AUD,active,2022-12-27,True
A0100,C0100,credit_card,38044.94,AUD,active,2023-11-19,False
A0101,C0069,checking,99397.44,AUD,active,2023-03-23,False
A0102,C0065,credit_card,13767.71,AUD,active,2023-05-31,False
A0103,C0063,savings,65311.75,AUD,active,2023-07-07,False
A0104,C0082,checking,106242.64,AUD,active,2023-03-30,False
A0105,C0023,credit_card,23696.07,AUD,closed,2022-11-23,True
A0106,C0035,credit_card,39450.96,AUD,active,2023-09-19,False
A0107,C0100,checking,69998.63,AUD,suspended,2022-03-28,False
A0108,C0035,checking,127831.12,AUD,active,2022-04-01,False
A0109,C0036,checking,36957.58,AUD,active,2021-07-17,True
A0110,C0073,credit_card,31750.37,AUD,active,2023-11-26,True
A0111,C0004,checking,127717.45,AUD,active,2020-06-24,True
A0112,C0063,savings,53546.33,AUD,active,2023-07-12,False
A0113,C0044,checking,132107.84,AUD,active,2023-11-04,False
A0114,C0072,savings,77735.77,AUD,active,2020-11-11,False
A0115,C0011,savings,108151.16,AUD,active,2022-04-14,False
A0116,C0072,savings,103746.1,AUD,closed,2020-09-13,False
A0117,C0092,checking,67502.1,AUD,active,2023-08-21,False
A0118,C0012,checking,33628.66,AUD,active,2021-11-18,False
A0119,C0040,credit_card,26985.56,AUD,active,2022-11-23,False
A0120,C0071,credit_card,13906.66,AUD,active,2023-01-19,True
A0121,C0043,checking,105576.81,AUD,active,2022-01-30,True
A0122,C0040,checking,34965.44,AUD,active,2023-10-29,False
A0123,C0041,savings,111560.72,AUD,active,2021-11-24,False
A0124,C0025,savings,110921.4,AUD,active,2021-12-06,False
A0125,C0093,credit_card,48713.39,AUD,active,2022-03-09,False
A0126,C0077,checking,147086.34,AUD,active,2021-12-11,True
A0127,C0038,savings,54451.72,AUD,active,2020-03-31,False
A0128,C0002,credit_card,24377.43,AUD,active,2021-12-20,False
A0129,C0006,savings,83227.17,AUD,active,2023-06-08,False
A0130,C0082,checking,15836.85,AUD,active,2023-01-29,False
A0131,C0074,checking,70674.84,AUD,active,2021-09-08,False
A0132,C0044,savings,144841.9,AUD,active,2023-06-23,False
A0133,C0062,savings,123406.29,AUD,active,2023-03-05,False
A0134,C0063,savings,86764.66,AUD,closed,2022-06-18,False
A0135,C0007,savings,22805.04,AUD,suspended,2020-03-12,False
A0136,C0039,savings,149090.76,AUD,active,2021-06-20,False
A0137,C0072,checking,91144.49,AUD,suspended,2020-04-10,False
A0138,C0029,credit_card,15920.79,AUD,active,2020-04-04,False
A0139,C0039,credit_card,49451.72,AUD,active,2023-12-22,False
A0140,C0073,credit_card,-1687.33,AUD,active,2020-02-20,True
A0141,C0098,savings,94014.5,AUD,active,2021-09-28,False
A0142,C0085,savings,23980.04,AUD,active,2023-04-10,False
A0143,C0071,savings,23901.63,AUD,active,2023-04-05,True
A0144,C0058,credit_card,27659.62,AUD,active,2023-02-07,False
A0145,C0005,savings,43571.68,AUD,active,2021-10-16,False
A0146,C0090,checking,11141.37,AUD,active,2023-10-17,False
A0147,C0034,credit_card,27438.43,AUD,active,2021-11-28,False
A0148,C0055,savings,81912.08,AUD,closed,2021-08-07,False
A0149,C0020,checking,124081.36,AUD,active,2022-11-27,False
A0150,C0008,savings,118997.97,AUD,suspended,2023-09-21,False
