relationship_id,source_type,source_id,target_type,target_id,relationship_type,timestamp,metadata
R00037,account,A0099,account,A0110,SHARED_DEVICE,2024-02-25T22:13:46.157798,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00038,account,A0099,account,A0120,SHARED_DEVICE,2024-03-02T12:11:53.912545,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00039,account,A0099,account,A0140,SHARED_DEVICE,2024-01-02T02:31:24.777010,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00040,account,A0099,account,A0143,SHARED_DEVICE,2024-06-06T10:41:00.949899,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00041,account,A0110,device,D0007,LOGGED_IN_FROM,2024-04-12T12:05:55.808316,"{""ring_id"": ""RING-1""}"
R00042,account,A0110,device,D0048,LOGGED_IN_FROM,2024-03-13T13:00:25.885202,"{""ring_id"": ""RING-1""}"
R00043,account,A0110,account,A0120,SHARED_DEVICE,2024-01-26T16:18:12.591479,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00044,account,A0110,account,A0140,SHARED_DEVICE,2024-04-24T14:29:57.202712,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00045,account,A0110,account,A0143,SHARED_DEVICE,2024-01-06T13:10:27.967320,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00046,account,A0120,device,D0007,LOGGED_IN_FROM,2024-05-15T01:06:34.178950,"{""ring_id"": ""RING-1""}"
R00047,account,A0120,device,D0048,LOGGED_IN_FROM,2024-02-08T22:32:14.031116,"{""ring_id"": ""RING-1""}"
R00048,account,A0120,account,A0140,SHARED_DEVICE,2024-03-16T23:45:08.470487,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00049,account,A0120,account,A0143,SHARED_DEVICE,2024-03-02T16:51:07.721302,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00050,account,A0140,device,D0007,LOGGED_IN_FROM,2024-03-07T23:30:38.281392,"{""ring_id"": ""RING-1""}"
R00051,account,A0140,device,D0048,LOGGED_IN_FROM,2024-05-10T14:36:46.381947,"{""ring_id"": ""RING-1""}"
R00052,account,A0140,account,A0143,SHARED_DEVICE,2024-05-20T14:34:26.159288,"{""shared_devices"": [""D0007"", ""D0048""]}"
R00053,account,A0143,device,D0007,LOGGED_IN_FROM,2024-04-12T17:37:35.075759,"{""ring_id"": ""RING-1""}"
R00054,account,A0143,device,D0048,LOGGED_IN_FROM,2024-01-16T09:03:12.173979,"{""ring_id"": ""RING-1""}"
R00055,customer,C0073,customer,C0027,KNOWN_ASSOCIATE,2024-01-10T12:31:57.871173,"{""ring_id"": ""RING-1""}"
R00056,customer,C0073,customer,C0009,KNOWN_ASSOCIATE,2024-01-29T11:47:18.934921,"{""ring_id"": ""RING-1""}"
R00057,customer,C0073,customer,C0071,KNOWN_ASSOCIATE,2024-04-21T19:53:20.624232,"{""ring_id"": ""RING-1""}"
R00058,customer,C0073,customer,C0099,KNOWN_ASSOCIATE,2024-05-01T23:43:12.284052,"{""ring_id"": ""RING-1""}"
R00059,customer,C0027,customer,C0009,KNOWN_ASSOCIATE,2024-02-19T06:00:53.108513,"{""ring_id"": ""RING-1""}"
R00060,customer,C0027,customer,C0071,KNOWN_ASSOCIATE,2024-04-29T19:27:42.053613,"{""ring_id"": ""RING-1""}"
R00061,customer,C0027,customer,C0099,KNOWN_ASSOCIATE,2024-03-28T21:42:52.005767,"{""ring_id"": ""RING-1""}"
R00062,customer,C0009,customer,C0071,KNOWN_ASSOCIATE,2024-03-21T00:14:23.809255,"{""ring_id"": ""RING-1""}"
R00063,customer,C0009,customer,C0099,KNOWN_ASSOCIATE,2024-02-19T10:38:12.378914,"{""ring_id"": ""RING-1""}"
R00064,customer,C0071,customer,C0099,KNOWN_ASSOCIATE,2024-05-16T15:28:22.857943,"{""ring_id"": ""RING-1""}"
R00065,account,A0028,device,D0034,LOGGED_IN_FROM,2024-06-27T04:25:54.983089,"{""ring_id"": ""RING-2""}"
R00066,account,A0028,device,D0043,LOGGED_IN_FROM,2024-01-10T21:58:22.180089,"{""ring_id"": ""RING-2""}"
R00067,account,A0028,account,A0030,SHARED_DEVICE,2024-02-07T00:00:50.587893,"{""shared_devices"": [""D0034"", ""D0043""]}"
R00068,account,A0028,account,A0076,SHARED_DEVICE,2024-06-20T02:29:16.205685,"{""shared_devices"": [""D0034"", ""D0043""]}"
R00069,account,A0030,device,D0034,LOGGED_IN_FROM,2024-05-18T21:21:58.847863,"{""ring_id"": ""RING-2""}"
R00070,account,A0030,device,D0043,LOGGED_IN_FROM,2024-05-18T07:30:53.752273,"{""ring_id"": ""RING-2""}"
R00071,account,A0030,account,A0076,SHARED_DEVICE,2024-02-22T09:21:30.016831,"{""shared_devices"": [""D0034"", ""D0043""]}"
R00072,account,A0076,device,D0034,LOGGED_IN_FROM,2024-01-22T17:12:43.160605,"{""ring_id"": ""RING-2""}"
R00073,account,A0076,device,D0043,LOGGED_IN_FROM,2024-03-31T00:38:30.722987,"{""ring_id"": ""RING-2""}"
R00074,customer,C0076,customer,C0028,KNOWN_ASSOCIATE,2024-03-18T22:45:55.329552,"{""ring_id"": ""RING-2""}"
R00075,customer,C0076,customer,C0030,KNOWN_ASSOCIATE,2024-01-24T09:10:57.678391,"{""ring_id"": ""RING-2""}"
R00076,customer,C0028,customer,C0030,KNOWN_ASSOCIATE,2024-04-06T09:32:15.788890,"{""ring_id"": ""RING-2""}"
R00077,account,A0001,device,D0028,LOGGED_IN_FROM,2024-01-04T09:24:47.645741,"{""ring_id"": ""RING-3""}"
R00078,account,A0001,account,A0019,SHARED_DEVICE,2024-06-15T17:31:46.615723,"{""shared_devices"": [""D0028""]}"
R00079,account,A0001,account,A0043,SHARED_DEVICE,2024-06-05T01:00:21.236871,"{""shared_devices"": [""D0028""]}"
R00080,account,A0001,account,A0077,SHARED_DEVICE,2024-04-14T05:05:52.059267,"{""shared_devices"": [""D0028""]}"
R00081,account,A0001,account,A0121,SHARED_DEVICE,2024-04-13T18:50:53.569565,"{""shared_devices"": [""D0028""]}"
R00082,account,A0001,account,A0126,SHARED_DEVICE,2024-05-08T10:03:48.560600,"{""shared_devices"": [""D0028""]}"
R00083,account,A0019,device,D0028,LOGGED_IN_FROM,2024-03-16T14:27:45.221616,"{""ring_id"": ""RING-3""}"
R00084,account,A0019,account,A0043,SHARED_DEVICE,2024-01-21T20:18:47.271066,"{""shared_devices"": [""D0028""]}"
R00085,account,A0019,account,A0077,SHARED_DEVICE,2024-01-04T18:36:03.212653,"{""shared_devices"": [""D0028""]}"
R00086,account,A0019,account,A0121,SHARED_DEVICE,2024-02-28T18:47:34.697441,"{""shared_devices"": [""D0028""]}"
R00087,account,A0019,account,A0126,SHARED_DEVICE,2024-05-25T00:56:36.377969,"{""shared_devices"": [""D0028""]}"
R00088,account,A0043,device,D0028,LOGGED_IN_FROM,2024-04-21T21:08:10.117657,"{""ring_id"": ""RING-3""}"
R00089,account,A0043,account,A0077,SHARED_DEVICE,2024-05-30T14:19:14.038981,"{""shared_devices"": [""D0028""]}"
R00090,account,A0043,account,A0121,SHARED_DEVICE,2024-06-15T11:28:47.285632,"{""shared_devices"": [""D0028""]}"
R00091,account,A0043,account,A0126,SHARED_DEVICE,2024-01-16T22:50:10.335689,"{""shared_devices"": [""D0028""]}"
R00092,account,A0077,device,D0028,LOGGED_IN_FROM,2024-06-01T20:26:24.212526,"{""ring_id"": ""RING-3""}"
R00093,account,A0077,account,A0121,SHARED_DEVICE,2024-02-14T00:58:00.359868,"{""shared_devices"": [""D0028""]}"
R00094,account,A0077,account,A0126,SHARED_DEVICE,2024-04-16T14:03:24.754996,"{""shared_devices"": [""D0028""]}"
R00095,account,A0121,device,D0028,LOGGED_IN_FROM,2024-04-04T20:05:35.832461,"{""ring_id"": ""RING-3""}"
R00096,account,A0121,account,A0126,SHARED_DEVICE,2024-03-12T15:12:37.912165,"{""shared_devices"": [""D0028""]}"
R00097,account,A0126,device,D0028,LOGGED_IN_FROM,2024-02-26T03:49:57.707814,"{""ring_id"": ""RING-3""}"
R00098,customer,C0043,customer,C0019,KNOWN_ASSOCIATE,2024-03-02T10:50:44.495912,"{""ring_id"": ""RING-3""}"
R00099,customer,C0043,customer,C0077,KNOWN_ASSOCIATE,2024-03-01T06:51:00.345997,"{""ring_id"": ""RING-3""}"
R00100,customer,C0043,customer,C0001,KNOWN_ASSOCIATE,2024-01-31T10:22:06.541502,"{""ring_id"": ""RING-3""}"
R00101,customer,C0019,customer,C0077,KNOWN_ASSOCIATE,2024-04-02T09:32:21.796984,"{""ring_id"": ""RING-3""}"
R00102,customer,C0019,customer,C0001,KNOWN_ASSOCIATE,2024-01-21T15:19:54.204451,"{""ring_id"": ""RING-3""}"
R00103,customer,C0077,customer,C0001,KNOWN_ASSOCIATE,2024-04-02T07:13:54.331432,"{""ring_id"": ""RING-3""}"
R00104,account,A0017,device,D0013,LOGGED_IN_FROM,2024-04-19T00:49:16.291296,"{""ring_id"": ""RING-4""}"
R00105,account,A0017,device,D0012,LOGGED_IN_FROM,2024-05-17T14:22:30.877881,"{""ring_id"": ""RING-4""}"
R00106,account,A0017,account,A0033,SHARED_DEVICE,2024-04-28T15:31:52.110096,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00107,account,A0017,account,A0036,SHARED_DEVICE,2024-02-02T01:31:22.022928,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00108,account,A0017,account,A0070,SHARED_DEVICE,2024-05-19T21:15:07.558889,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00109,account,A0017,account,A0091,SHARED_DEVICE,2024-03-30T10:26:39.684032,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00110,account,A0017,account,A0109,SHARED_DEVICE,2024-05-16T13:18:45.593542,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00111,account,A0033,device,D0013,LOGGED_IN_FROM,2024-05-17T12:54:22.816426,"{""ring_id"": ""RING-4""}"
R00112,account,A0033,device,D0012,LOGGED_IN_FROM,2024-03-22T06:02:39.970992,"{""ring_id"": ""RING-4""}"
R00113,account,A0033,account,A0036,SHARED_DEVICE,2024-06-16T06:31:33.954338,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00114,account,A0033,account,A0070,SHARED_DEVICE,2024-04-12T04:09:08.305566,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00115,account,A0033,account,A0091,SHARED_DEVICE,2024-04-24T23:44:09.232797,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00116,account,A0033,account,A0109,SHARED_DEVICE,2024-04-23T00:55:21.395624,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00117,account,A0036,device,D0013,LOGGED_IN_FROM,2024-06-05T10:17:18.327364,"{""ring_id"": ""RING-4""}"
R00118,account,A0036,device,D0012,LOGGED_IN_FROM,2024-04-23T12:37:56.696061,"{""ring_id"": ""RING-4""}"
R00119,account,A0036,account,A0070,SHARED_DEVICE,2024-01-28T07:45:32.225945,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00120,account,A0036,account,A0091,SHARED_DEVICE,2024-01-13T08:38:07.824860,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00121,account,A0036,account,A0109,SHARED_DEVICE,2024-03-21T00:57:06.585497,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00122,account,A0070,device,D0013,LOGGED_IN_FROM,2024-02-24T19:27:07.092878,"{""ring_id"": ""RING-4""}"
R00123,account,A0070,device,D0012,LOGGED_IN_FROM,2024-02-19T17:10:56.681616,"{""ring_id"": ""RING-4""}"
R00124,account,A0070,account,A0091,SHARED_DEVICE,2024-01-11T04:00:42.084740,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00125,account,A0070,account,A0109,SHARED_DEVICE,2024-04-01T19:52:17.146916,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00126,account,A0091,device,D0013,LOGGED_IN_FROM,2024-02-26T04:24:42.130922,"{""ring_id"": ""RING-4""}"
R00127,account,A0091,device,D0012,LOGGED_IN_FROM,2024-03-22T19:06:49.766097,"{""ring_id"": ""RING-4""}"
R00128,account,A0091,account,A0109,SHARED_DEVICE,2024-01-11T07:07:49.370962,"{""shared_devices"": [""D0013"", ""D0012""]}"
R00129,account,A0109,device,D0013,LOGGED_IN_FROM,2024-05-30T12:53:24.604601,"{""ring_id"": ""RING-4""}"
R00130,account,A0109,device,D0012,LOGGED_IN_FROM,2024-01-14T21:19:10.088751,"{""ring_id"": ""RING-4""}"
R00131,customer,C0036,customer,C0091,KNOWN_ASSOCIATE,2024-06-05T10:18:07.730536,"{""ring_id"": ""RING-4""}"
R00132,customer,C0036,customer,C0017,KNOWN_ASSOCIATE,2024-06-03T19:23:39.860179,"{""ring_id"": ""RING-4""}"
R00133,customer,C0036,customer,C0070,KNOWN_ASSOCIATE,2024-04-21T07:35:47.181398,"{""ring_id"": ""RING-4""}"
R00134,customer,C0036,customer,C0033,KNOWN_ASSOCIATE,2024-04-01T18:42:09.354595,"{""ring_id"": ""RING-4""}"
R00135,customer,C0091,customer,C0017,KNOWN_ASSOCIATE,2024-03-24T18:01:10.006968,"{""ring_id"": ""RING-4""}"
R00136,customer,C0091,customer,C0070,KNOWN_ASSOCIATE,2024-04-10T07:57:01.141537,"{""ring_id"": ""RING-4""}"
R00137,customer,C0091,customer,C0033,KNOWN_ASSOCIATE,2024-05-23T07:39:23.440755,"{""ring_id"": ""RING-4""}"
R00138,customer,C0017,customer,C0070,KNOWN_ASSOCIATE,2024-06-11T03:41:19.210484,"{""ring_id"": ""RING-4""}"
R00139,customer,C0017,customer,C0033,KNOWN_ASSOCIATE,2024-03-22T09:38:35.551174,"{""ring_id"": ""RING-4""}"
R00140,customer,C0070,customer,C0033,KNOWN_ASSOCIATE,2024-05-26T13:50:25.247328,"{""ring_id"": ""RING-4""}"
R00141,account,A0004,device,D0022,LOGGED_IN_FROM,2024-06-26T19:28:58.671371,"{""ring_id"": ""RING-5""}"
R00142,account,A0004,account,A0015,SHARED_DEVICE,2024-01-16T06:19:32.698253,"{""shared_devices"": [""D0022""]}"
R00143,account,A0004,account,A0023,SHARED_DEVICE,2024-04-26T22:46:33.902142,"{""shared_devices"": [""D0022""]}"
R00144,account,A0004,account,A0086,SHARED_DEVICE,2024-01-08T02:02:00.226377,"{""shared_devices"": [""D0022""]}"
R00145,account,A0004,account,A0105,SHARED_DEVICE,2024-05-08T01:54:31.260889,"{""shared_devices"": [""D0022""]}"
R00146,account,A0004,account,A0111,SHARED_DEVICE,2024-06-28T08:50:35.816561,"{""shared_devices"": [""D0022""]}"
R00147,account,A0015,device,D0022,LOGGED_IN_FROM,2024-04-04T20:33:13.661896,"{""ring_id"": ""RING-5""}"
R00148,account,A0015,account,A0023,SHARED_DEVICE,2024-04-20T08:59:40.866237,"{""shared_devices"": [""D0022""]}"
R00149,account,A0015,account,A0086,SHARED_DEVICE,2024-03-06T20:46:21.852749,"{""shared_devices"": [""D0022""]}"
R00150,account,A0015,account,A0105,SHARED_DEVICE,2024-06-15T03:31:02.682927,"{""shared_devices"": [""D0022""]}"
R00151,account,A0015,account,A0111,SHARED_DEVICE,2024-03-11T02:56:15.124446,"{""shared_devices"": [""D0022""]}"
R00152,account,A0023,device,D0022,LOGGED_IN_FROM,2024-05-20T04:16:30.149632,"{""ring_id"": ""RING-5""}"
R00153,account,A0023,account,A0086,SHARED_DEVICE,2024-05-02T21:07:54.113199,"{""shared_devices"": [""D0022""]}"
R00154,account,A0023,account,A0105,SHARED_DEVICE,2024-01-10T11:28:32.909435,"{""shared_devices"": [""D0022""]}"
R00155,account,A0023,account,A0111,SHARED_DEVICE,2024-04-24T04:34:16.605753,"{""shared_devices"": [""D0022""]}"
R00156,account,A0086,device,D0022,LOGGED_IN_FROM,2024-03-01T13:43:00.352190,"{""ring_id"": ""RING-5""}"
R00157,account,A0086,account,A0105,SHARED_DEVICE,2024-02-29T16:10:35.904833,"{""shared_devices"": [""D0022""]}"
R00158,account,A0086,account,A0111,SHARED_DEVICE,2024-04-10T23:47:31.901084,"{""shared_devices"": [""D0022""]}"
R00159,account,A0105,device,D0022,LOGGED_IN_FROM,2024-03-10T23:14:05.659152,"{""ring_id"": ""RING-5""}"
R00160,account,A0105,account,A0111,SHARED_DEVICE,2024-02-15T14:40:10.883615,"{""shared_devices"": [""D0022""]}"
R00161,account,A0111,device,D0022,LOGGED_IN_FROM,2024-06-03T03:12:13.800140,"{""ring_id"": ""RING-5""}"
R00162,customer,C0023,customer,C0015,KNOWN_ASSOCIATE,2024-06-23T13:23:49.792101,"{""ring_id"": ""RING-5""}"
R00163,customer,C0023,customer,C0004,KNOWN_ASSOCIATE,2024-04-19T02:07:56.404350,"{""ring_id"": ""RING-5""}"
R00164,customer,C0023,customer,C0086,KNOWN_ASSOCIATE,2024-01-28T05:13:18.240641,"{""ring_id"": ""RING-5""}"
R00165,customer,C0015,customer,C0004,KNOWN_ASSOCIATE,2024-01-15T18:02:40.680505,"{""ring_id"": ""RING-5""}"
R00166,customer,C0015,customer,C0086,KNOWN_ASSOCIATE,2024-04-30T02:43:51.558565,"{""ring_id"": ""RING-5""}"
R00167,customer,C0004,customer,C0086,KNOWN_ASSOCIATE,2024-06-14T22:20:47.762765,"{""ring_id"": ""RING-5""}"
R00168,transaction,T00001,account,A0080,INITIATED_BY,2024-04-17T16:51:32.742326,{}
R00169,transaction,T00001,merchant,M0021,PURCHASED_AT,2024-04-17T16:51:32.742326,{}
R00170,transaction,T00002,account,A0097,INITIATED_BY,2024-05-13T17:14:13.832630,{}
R00171,transaction,T00002,merchant,M0021,PURCHASED_AT,2024-05-13T17:14:13.832630,{}
R00172,transaction,T00003,account,A0109,INITIATED_BY,2024-02-02T15:03:43.693117,{}
R00173,transaction,T00003,merchant,M0017,PURCHASED_AT,2024-02-02T15:03:43.693117,{}
R00174,transaction,T00004,account,A0125,INITIATED_BY,2024-01-14T23:12:18.454331,{}
R00175,transaction,T00004,merchant,M0007,PURCHASED_AT,2024-01-14T23:12:18.454331,{}
R00176,transaction,T00005,account,A0139,INITIATED_BY,2024-04-29T19:25:14.185709,{}
R00177,transaction,T00005,merchant,M0027,PURCHASED_AT,2024-04-29T19:25:14.185709,{}
R00178,transaction,T00006,account,A0097,INITIATED_BY,2024-01-30T23:06:07.689572,{}
R00179,transaction,T00006,merchant,M0005,PURCHASED_AT,2024-01-30T23:06:07.689572,{}
R00180,transaction,T00007,account,A0094,INITIATED_BY,2024-05-21T20:49:43.540986,{}
R00181,transaction,T00007,merchant,M0022,PURCHASED_AT,2024-05-21T20:49:43.540986,{}
R00182,transaction,T00008,account,A0080,INITIATED_BY,2024-04-13T05:54:06.641182,{}
R00183,transaction,T00008,merchant,M0026,PURCHASED_AT,2024-04-13T05:54:06.641182,{}
R00184,transaction,T00009,account,A0073,INITIATED_BY,2024-06-23T21:28:07.887096,{}
R00185,transaction,T00009,merchant,M0025,PURCHASED_AT,2024-06-23T21:28:07.887096,{}
R00186,transaction,T00010,account,A0036,INITIATED_BY,2024-06-07T05:09:50.433505,{}
R00187,transaction,T00010,merchant,M0028,PURCHASED_AT,2024-06-07T05:09:50.433505,{}
R00188,transaction,T00011,account,A0133,INITIATED_BY,2024-04-02T22:00:15.456822,{}
R00189,transaction,T00011,merchant,M0028,PURCHASED_AT,2024-04-02T22:00:15.456822,{}
R00190,transaction,T00012,account,A0057,INITIATED_BY,2024-01-05T19:51:19.111853,{}
R00191,transaction,T00012,merchant,M0027,PURCHASED_AT,2024-01-05T19:51:19.111853,{}
R00192,transaction,T00013,account,A0096,INITIATED_BY,2024-02-10T15:23:46.922602,{}
R00193,transaction,T00013,merchant,M0008,PURCHASED_AT,2024-02-10T15:23:46.922602,{}
R00194,transaction,T00014,account,A0086,INITIATED_BY,2024-05-30T10:20:38.223202,{}
R00195,transaction,T00014,merchant,M0026,PURCHASED_AT,2024-05-30T10:20:38.223202,{}
R00196,transaction,T00015,account,A0002,INITIATED_BY,2024-05-31T03:04:46.931818,{}
R00197,transaction,T00015,merchant,M0029,PURCHASED_AT,2024-05-31T03:04:46.931818,{}
R00198,transaction,T00016,account,A0136,INITIATED_BY,2024-02-24T12:12:02.841417,{}
R00199,transaction,T00016,merchant,M0014,PURCHASED_AT,2024-02-24T12:12:02.841417,{}
R00200,transaction,T00017,account,A0118,INITIATED_BY,2024-04-03T06:47:31.819307,{}
R00201,transaction,T00017,merchant,M0003,PURCHASED_AT,2024-04-03T06:47:31.819307,{}
R00202,transaction,T00018,account,A0075,INITIATED_BY,2024-04-30T22:43:31.937818,{}
R00203,transaction,T00018,merchant,M0014,PURCHASED_AT,2024-04-30T22:43:31.937818,{}
R00204,transaction,T00019,account,A0018,INITIATED_BY,2024-04-01T21:06:45.093149,{}
R00205,transaction,T00019,merchant,M0017,PURCHASED_AT,2024-04-01T21:06:45.093149,{}
R00206,transaction,T00020,account,A0121,INITIATED_BY,2024-05-12T15:53:44.869854,{}
R00207,transaction,T00020,merchant,M0002,PURCHASED_AT,2024-05-12T15:53:44.869854,{}
R00208,transaction,T00021,account,A0086,INITIATED_BY,2024-05-27T05:52:57.043112,{}
R00209,transaction,T00021,merchant,M0005,PURCHASED_AT,2024-05-27T05:52:57.043112,{}
R00210,transaction,T00022,account,A0119,INITIATED_BY,2024-01-25T09:47:58.605780,{}
R00211,transaction,T00022,merchant,M0023,PURCHASED_AT,2024-01-25T09:47:58.605780,{}
R00212,transaction,T00023,account,A0052,INITIATED_BY,2024-03-13T01:53:07.072440,{}
R00213,transaction,T00023,merchant,M0002,PURCHASED_AT,2024-03-13T01:53:07.072440,{}
R00214,transaction,T00024,account,A0010,INITIATED_BY,2024-06-05T01:07:47.194890,{}
R00215,transaction,T00024,merchant,M0025,PURCHASED_AT,2024-06-05T01:07:47.194890,{}
R00216,transaction,T00025,account,A0085,INITIATED_BY,2024-06-09T23:55:45.947645,{}
R00217,transaction,T00025,merchant,M0009,PURCHASED_AT,2024-06-09T23:55:45.947645,{}
R00218,transaction,T00026,account,A0099,INITIATED_BY,2024-03-31T01:14:29.821172,{}
R00219,transaction,T00026,merchant,M0011,PURCHASED_AT,2024-03-31T01:14:29.821172,{}
R00220,transaction,T00027,account,A0022,INITIATED_BY,2024-06-29T02:42:23.141098,{}
R00221,transaction,T00027,merchant,M0024,PURCHASED_AT,2024-06-29T02:42:23.141098,{}
R00222,transaction,T00028,account,A0083,INITIATED_BY,2024-03-18T03:02:53.594174,{}
R00223,transaction,T00028,merchant,M0004,PURCHASED_AT,2024-03-18T03:02:53.594174,{}
R00224,transaction,T00029,account,A0011,INITIATED_BY,2024-06-29T15:57:58.308214,{}
R00225,transaction,T00029,merchant,M0024,PURCHASED_AT,2024-06-29T15:57:58.308214,{}
R00226,transaction,T00030,account,A0015,INITIATED_BY,2024-04-02T20:50:44.406794,{}
