~id,~from,~to,~label,timestamp
R00144,A0004,A0086,SHARED_DEVICE,2024-01-08T02:02:00.226377
R00145,A0004,A0105,SHARED_DEVICE,2024-05-08T01:54:31.260889
R00146,A0004,A0111,SHARED_DEVICE,2024-06-28T08:50:35.816561
R00147,A0015,D0022,LOGGED_IN_FROM,2024-04-04T20:33:13.661896
R00148,A0015,A0023,SHARED_DEVICE,2024-04-20T08:59:40.866237
R00149,A0015,A0086,SHARED_DEVICE,2024-03-06T20:46:21.852749
R00150,A0015,A0105,SHARED_DEVICE,2024-06-15T03:31:02.682927
R00151,A0015,A0111,SHARED_DEVICE,2024-03-11T02:56:15.124446
R00152,A0023,D0022,LOGGED_IN_FROM,2024-05-20T04:16:30.149632
R00153,A0023,A0086,SHARED_DEVICE,2024-05-02T21:07:54.113199
R00154,A0023,A0105,SHARED_DEVICE,2024-01-10T11:28:32.909435
R00155,A0023,A0111,SHARED_DEVICE,2024-04-24T04:34:16.605753
R00156,A0086,D0022,LOGGED_IN_FROM,2024-03-01T13:43:00.352190
R00157,A0086,A0105,SHARED_DEVICE,2024-02-29T16:10:35.904833
R00158,A0086,A0111,SHARED_DEVICE,2024-04-10T23:47:31.901084
R00159,A0105,D0022,LOGGED_IN_FROM,2024-03-10T23:14:05.659152
R00160,A0105,A0111,SHARED_DEVICE,2024-02-15T14:40:10.883615
R00161,A0111,D0022,LOGGED_IN_FROM,2024-06-03T03:12:13.800140
R00162,C0023,C0015,KNOWN_ASSOCIATE,2024-06-23T13:23:49.792101
R00163,C0023,C0004,KNOWN_ASSOCIATE,2024-04-19T02:07:56.404350
R00164,C0023,C0086,KNOWN_ASSOCIATE,2024-01-28T05:13:18.240641
R00165,C0015,C0004,KNOWN_ASSOCIATE,2024-01-15T18:02:40.680505
R00166,C0015,C0086,KNOWN_ASSOCIATE,2024-04-30T02:43:51.558565
R00167,C0004,C0086,KNOWN_ASSOCIATE,2024-06-14T22:20:47.762765
R00168,T00001,A0080,INITIATED_BY,2024-04-17T16:51:32.742326
R00169,T00001,M0021,PURCHASED_AT,2024-04-17T16:51:32.742326
R00170,T00002,A0097,INITIATED_BY,2024-05-13T17:14:13.832630
R00171,T00002,M0021,PURCHASED_AT,2024-05-13T17:14:13.832630
R00172,T00003,A0109,INITIATED_BY,2024-02-02T15:03:43.693117
R00173,T00003,M0017,PURCHASED_AT,2024-02-02T15:03:43.693117
R00174,T00004,A0125,INITIATED_BY,2024-01-14T23:12:18.454331
R00175,T00004,M0007,PURCHASED_AT,2024-01-14T23:12:18.454331
R00176,T00005,A0139,INITIATED_BY,2024-04-29T19:25:14.185709
R00177,T00005,M0027,PURCHASED_AT,2024-04-29T19:25:14.185709
R00178,T00006,A0097,INITIATED_BY,2024-01-30T23:06:07.689572
R00179,T00006,M0005,PURCHASED_AT,2024-01-30T23:06:07.689572
R00180,T00007,A0094,INITIATED_BY,2024-05-21T20:49:43.540986
R00181,T00007,M0022,PURCHASED_AT,2024-05-21T20:49:43.540986
R00182,T00008,A0080,INITIATED_BY,2024-04-13T05:54:06.641182
R00183,T00008,M0026,PURCHASED_AT,2024-04-13T05:54:06.641182
R00184,T00009,A0073,INITIATED_BY,2024-06-23T21:28:07.887096
R00185,T00009,M0025,PURCHASED_AT,2024-06-23T21:28:07.887096
R00186,T00010,A0036,INITIATED_BY,2024-06-07T05:09:50.433505
R00187,T00010,M0028,PURCHASED_AT,2024-06-07T05:09:50.433505
R00188,T00011,A0133,INITIATED_BY,2024-04-02T22:00:15.456822
R00189,T00011,M0028,PURCHASED_AT,2024-04-02T22:00:15.456822
R00190,T00012,A0057,INITIATED_BY,2024-01-05T19:51:19.111853
R00191,T00012,M0027,PURCHASED_AT,2024-01-05T19:51:19.111853
R00192,T00013,A0096,INITIATED_BY,2024-02-10T15:23:46.922602
R00193,T00013,M0008,PURCHASED_AT,2024-02-10T15:23:46.922602
R00194,T00014,A0086,INITIATED_BY,2024-05-30T10:20:38.223202
R00195,T00014,M0026,PURCHASED_AT,2024-05-30T10:20:38.223202
R00196,T00015,A0002,INITIATED_BY,2024-05-31T03:04:46.931818
R00197,T00015,M0029,PURCHASED_AT,2024-05-31T03:04:46.931818
R00198,T00016,A0136,INITIATED_BY,2024-02-24T12:12:02.841417
R00199,T00016,M0014,PURCHASED_AT,2024-02-24T12:12:02.841417
R00200,T00017,A0118,INITIATED_BY,2024-04-03T06:47:31.819307
R00201,T00017,M0003,PURCHASED_AT,2024-04-03T06:47:31.819307
R00202,T00018,A0075,INITIATED_BY,2024-04-30T22:43:31.937818
R00203,T00018,M0014,PURCHASED_AT,2024-04-30T22:43:31.937818
R00204,T00019,A0018,INITIATED_BY,2024-04-01T21:06:45.093149
R00205,T00019,M0017,PURCHASED_AT,2024-04-01T21:06:45.093149
R00206,T00020,A0121,INITIATED_BY,2024-05-12T15:53:44.869854
R00207,T00020,M0002,PURCHASED_AT,2024-05-12T15:53:44.869854
R00208,T00021,A0086,INITIATED_BY,2024-05-27T05:52:57.043112
R00209,T00021,M0005,PURCHASED_AT,2024-05-27T05:52:57.043112
R00210,T00022,A0119,INITIATED_BY,2024-01-25T09:47:58.605780
R00211,T00022,M0023,PURCHASED_AT,2024-01-25T09:47:58.605780
R00212,T00023,A0052,INITIATED_BY,2024-03-13T01:53:07.072440
R00213,T00023,M0002,PURCHASED_AT,2024-03-13T01:53:07.072440
R00214,T00024,A0010,INITIATED_BY,2024-06-05T01:07:47.194890
R00215,T00024,M0025,PURCHASED_AT,2024-06-05T01:07:47.194890
R00216,T00025,A0085,INITIATED_BY,2024-06-09T23:55:45.947645
R00217,T00025,M0009,PURCHASED_AT,2024-06-09T23:55:45.947645
R00218,T00026,A0099,INITIATED_BY,2024-03-31T01:14:29.821172
R00219,T00026,M0011,PURCHASED_AT,2024-03-31T01:14:29.821172
R00220,T00027,A0022,INITIATED_BY,2024-06-29T02:42:23.141098
R00221,T00027,M0024,PURCHASED_AT,2024-06-29T02:42:23.141098
R00222,T00028,A0083,INITIATED_BY,2024-03-18T03:02:53.594174
R00223,T00028,M0004,PURCHASED_AT,2024-03-18T03:02:53.594174
R00224,T00029,A0011,INITIATED_BY,2024-06-29T15:57:58.308214
R00225,T00029,M0024,PURCHASED_AT,2024-06-29T15:57:58.308214
R00226,T00030,A0015,INITIATED_BY,2024-04-02T20:50:44.406794
R00227,T00030,M0003,PURCHASED_AT,2024-04-02T20:50:44.406794
R00228,T00031,A0037,INITIATED_BY,2024-01-07T07:10:00.146744
R00229,T00031,M0028,PURCHASED_AT,2024-01-07T07:10:00.146744
R00230,T00032,A0094,INITIATED_BY,2024-04-19T12:31:54.971563
R00231,T00032,M0012,PURCHASED_AT,2024-04-19T12:31:54.971563
R00232,T00033,A0096,INITIATED_BY,2024-04-05T19:58:25.411417
R00233,T00033,M0015,PURCHASED_AT,2024-04-05T19:58:25.411417
R00234,T00034,A0072,INITIATED_BY,2024-06-14T08:25:43.122909
R00235,T00034,M0008,PURCHASED_AT,2024-06-14T08:25:43.122909
R00236,T00035,A0067,INITIATED_BY,2024-06-03T08:40:38.659546
R00237,T00035,M0023,PURCHASED_AT,2024-06-03T08:40:38.659546
R00238,T00036,A0114,INITIATED_BY,2024-02-22T13:20:01.522993
R00239,T00036,M0003,PURCHASED_AT,2024-02-22T13:20:01.522993
R00240,T00037,A0045,INITIATED_BY,2024-06-27T07:24:56.818785
R00241,T00037,M0026,PURCHASED_AT,2024-06-27T07:24:56.818785
R00242,T00038,A0127,INITIATED_BY,2024-03-25T14:24:39.477179
R00243,T00038,M0001,PURCHASED_AT,2024-03-25T14:24:39.477179
R00244,T00039,A0023,INITIATED_BY,2024-05-19T05:15:02.904580
R00245,T00039,M0003,PURCHASED_AT,2024-05-19T05:15:02.904580
R00246,T00040,A0082,INITIATED_BY,2024-04-03T15:24:42.808844
R00247,T00040,M0021,PURCHASED_AT,2024-04-03T15:24:42.808844
R00248,T00041,A0142,INITIATED_BY,2024-01-24T08:31:09.007211
R00249,T00041,M0021,PURCHASED_AT,2024-01-24T08:31:09.007211
R00250,T00042,A0015,INITIATED_BY,2024-01-30T19:16:13.278154
R00251,T00042,M0027,PURCHASED_AT,2024-01-30T19:16:13.278154
R00252,T00043,A0058,INITIATED_BY,2024-02-21T09:54:21.095240
R00253,T00043,M0012,PURCHASED_AT,2024-02-21T09:54:21.095240
R00254,T00044,A0142,INITIATED_BY,2024-04-06T13:25:42.820730
R00255,T00044,M0009,PURCHASED_AT,2024-04-06T13:25:42.820730
R00256,T00045,A0149,INITIATED_BY,2024-06-12T06:17:30.775893
R00257,T00045,M0005,PURCHASED_AT,2024-06-12T06:17:30.775893
R00258,T00046,A0145,INITIATED_BY,2024-05-18T19:40:11.639930
R00259,T00046,M0002,PURCHASED_AT,2024-05-18T19:40:11.639930
R00260,T00047,A0008,INITIATED_BY,2024-04-26T04:26:42.953008
R00261,T00047,M0016,PURCHASED_AT,2024-04-26T04:26:42.953008
R00262,T00048,A0104,INITIATED_BY,2024-01-29T14:42:05.262603
R00263,T00048,M0010,PURCHASED_AT,2024-01-29T14:42:05.262603
R00264,T00049,A0053,INITIATED_BY,2024-05-10T00:34:06.142542
R00265,T00049,M0011,PURCHASED_AT,2024-05-10T00:34:06.142542
R00266,T00050,A0034,INITIATED_BY,2024-02-27T18:14:21.877927
R00267,T00050,M0025,PURCHASED_AT,2024-02-27T18:14:21.877927
R00268,T00051,A0116,INITIATED_BY,2024-06-29T06:29:28.038475
R00269,T00051,M0008,PURCHASED_AT,2024-06-29T06:29:28.038475
R00270,T00052,A0079,INITIATED_BY,2024-02-08T22:35:14.537234
R00271,T00052,M0016,PURCHASED_AT,2024-02-08T22:35:14.537234
R00272,T00053,A0073,INITIATED_BY,2024-05-01T17:25:46.209926
R00273,T00053,M0016,PURCHASED_AT,2024-05-01T17:25:46.209926
R00274,T00054,A0028,INITIATED_BY,2024-03-07T04:56:17.041864
R00275,T00054,M0014,PURCHASED_AT,2024-03-07T04:56:17.041864
R00276,T00055,A0103,INITIATED_BY,2024-04-10T03:12:01.415672
R00277,T00055,M0002,PURCHASED_AT,2024-04-10T03:12:01.415672
R00278,T00056,A0116,INITIATED_BY,2024-04-22T19:21:41.103428
R00279,T00056,M0025,PURCHASED_AT,2024-04-22T19:21:41.103428
R00280,T00057,A0025,INITIATED_BY,2024-01-27T02:41:50.672755
R00281,T00057,M0013,PURCHASED_AT,2024-01-27T02:41:50.672755
R00282,T00058,A0129,INITIATED_BY,2024-03-23T17:09:29.885489
R00283,T00058,M0002,PURCHASED_AT,2024-03-23T17:09:29.885489
R00284,T00059,A0036,INITIATED_BY,2024-03-12T02:59:41.026891
R00285,T00059,M0011,PURCHASED_AT,2024-03-12T02:59:41.026891
R00286,T00060,A0077,INITIATED_BY,2024-04-06T08:29:03.195531
R00287,T00060,M0019,PURCHASED_AT,2024-04-06T08:29:03.195531
R00288,T00061,A0005,INITIATED_BY,2024-03-16T09:27:03.349489
R00289,T00061,M0012,PURCHASED_AT,2024-03-16T09:27:03.349489
R00290,T00062,A0007,INITIATED_BY,2024-05-21T16:56:05.779601
R00291,T00062,M0020,PURCHASED_AT,2024-05-21T16:56:05.779601
R00292,T00063,A0014,INITIATED_BY,2024-05-10T12:49:05.650760
R00293,T00063,M0019,PURCHASED_AT,2024-05-10T12:49:05.650760
R00294,T00064,A0063,INITIATED_BY,2024-02-04T12:46:01.632289
R00295,T00064,M0002,PURCHASED_AT,2024-02-04T12:46:01.632289
R00296,T00065,A0039,INITIATED_BY,2024-05-20T06:28:46.844580
R00297,T00065,M0014,PURCHASED_AT,2024-05-20T06:28:46.844580
R00298,T00066,A0016,INITIATED_BY,2024-02-28T20:00:54.639168
R00299,T00066,M0023,PURCHASED_AT,2024-02-28T20:00:54.639168
R00300,T00067,A0081,INITIATED_BY,2024-04-08T21:00:39.111838
R00301,T00067,M0006,PURCHASED_AT,2024-04-08T21:00:39.111838
R00302,T00068,A0050,INITIATED_BY,2024-06-19T09:48:47.567687
R00303,T00068,M0008,PURCHASED_AT,2024-06-19T09:48:47.567687
R00304,T00069,A0054,INITIATED_BY,2024-03-04T03:12:03.559430
R00305,T00069,M0023,PURCHASED_AT,2024-03-04T03:12:03.559430
R00306,T00070,A0147,INITIATED_BY,2024-03-12T09:50:56.354294
R00307,T00070,M0022,PURCHASED_AT,2024-03-12T09:50:56.354294
R00308,T00071,A0038,INITIATED_BY,2024-02-08T17:33:31.299431
R00309,T00071,M0010,PURCHASED_AT,2024-02-08T17:33:31.299431
R00310,T00072,A0144,INITIATED_BY,2024-05-14T02:25:49.449845
R00311,T00072,M0023,PURCHASED_AT,2024-05-14T02:25:49.449845
R00312,T00073,A0136,INITIATED_BY,2024-03-15T19:22:52.082809
R00313,T00073,M0008,PURCHASED_AT,2024-03-15T19:22:52.082809
R00314,T00074,A0036,INITIATED_BY,2024-06-08T09:31:57.195147
R00315,T00074,M0001,PURCHASED_AT,2024-06-08T09:31:57.195147
R00316,T00075,A0052,INITIATED_BY,2024-04-26T21:46:49.999135
R00317,T00075,M0025,PURCHASED_AT,2024-04-26T21:46:49.999135
R00318,T00076,A0060,INITIATED_BY,2024-01-07T18:01:24.899186
R00319,T00076,M0018,PURCHASED_AT,2024-01-07T18:01:24.899186
R00320,T00077,A0046,INITIATED_BY,2024-06-18T12:37:42.194333
R00321,T00077,M0030,PURCHASED_AT,2024-06-18T12:37:42.194333
R00322,T00078,A0003,INITIATED_BY,2024-06-26T22:07:31.623901
R00323,T00078,M0010,PURCHASED_AT,2024-06-26T22:07:31.623901
R00324,T00079,A0140,INITIATED_BY,2024-06-03T01:00:12.615778
R00325,T00079,M0017,PURCHASED_AT,2024-06-03T01:00:12.615778
R00326,T00080,A0029,INITIATED_BY,2024-02-16T13:33:31.102981
R00327,T00080,M0011,PURCHASED_AT,2024-02-16T13:33:31.102981
R00328,T00081,A0087,INITIATED_BY,2024-02-04T23:05:33.481899
R00329,T00081,M0026,PURCHASED_AT,2024-02-04T23:05:33.481899
R00330,T00082,A0104,INITIATED_BY,2024-03-13T13:13:10.644065
R00331,T00082,M0027,PURCHASED_AT,2024-03-13T13:13:10.644065
R00332,T00083,A0036,INITIATED_BY,2024-02-17T04:51:04.476860
R00333,T00083,M0016,PURCHASED_AT,2024-02-17T04:51:04.476860
R00334,T00084,A0069,INITIATED_BY,2024-01-03T01:40:36.585622
R00335,T00084,M0011,PURCHASED_AT,2024-01-03T01:40:36.585622
R00336,T00085,A0016,INITIATED_BY,2024-03-14T09:07:47.160245
R00337,T00085,M0022,PURCHASED_AT,2024-03-14T09:07:47.160245
R00338,T00086,A0080,INITIATED_BY,2024-02-09T15:53:40.712867
R00339,T00086,M0023,PURCHASED_AT,2024-02-09T15:53:40.712867
R00340,T00087,A0117,INITIATED_BY,2024-05-07T01:13:49.862859
R00341,T00087,M0024,PURCHASED_AT,2024-05-07T01:13:49.862859
R00342,T00088,A0056,INITIATED_BY,2024-06-07T00:53:55.298655
R00343,T00088,M0025,PURCHASED_AT,2024-06-07T00:53:55.298655
R00344,T00089,A0136,INITIATED_BY,2024-01-21T07:26:05.965576
R00345,T00089,M0023,PURCHASED_AT,2024-01-21T07:26:05.965576
R00346,T00090,A0052,INITIATED_BY,2024-06-03T15:53:13.978045
R00347,T00090,M0019,PURCHASED_AT,2024-06-03T15:53:13.978045
R00348,T00091,A0053,INITIATED_BY,2024-04-02T09:04:13.936507
R00349,T00091,M0023,PURCHASED_AT,2024-04-02T09:04:13.936507
R00350,T00092,A0132,INITIATED_BY,2024-03-24T16:34:16.896468
R00351,T00092,M0014,PURCHASED_AT,2024-03-24T16:34:16.896468
R00352,T00093,A0102,INITIATED_BY,2024-04-14T16:11:02.887499
R00353,T00093,M0009,PURCHASED_AT,2024-04-14T16:11:02.887499
R00354,T00094,A0017,INITIATED_BY,2024-05-19T04:24:52.703506
R00355,T00094,M0018,PURCHASED_AT,2024-05-19T04:24:52.703506
R00356,T00095,A0098,INITIATED_BY,2024-04-29T18:49:36.428221
R00357,T00095,M0015,PURCHASED_AT,2024-04-29T18:49:36.428221
R00358,T00096,A0090,INITIATED_BY,2024-04-05T17:17:31.170405
R00359,T00096,M0004,PURCHASED_AT,2024-04-05T17:17:31.170405
